review,sentiment
"Chhichhore - Indian films have now come of age, they can give a message subtly without being preachy. Chhichhore begins with young Raghav suffering from a massive anxiety about whether he will crack the all India engineering entrance exam as he has invested 18 hours a day for the past many months preparing for it and wants to match the caliber of his parents.

A failure to launch throws him into despair and the occasion brings together six middle aged people into a reunion with the objective of alleviating Raghav from his pain and encouraging him to bring hope back into his fragile life. LOSERS, as these six were known as in their student life, recount their carefree journey initially and the final effort to shrug off the underdog tag, drawing a significant parallel to Raghav's situation.

Director Nitesh Tiwari handles the subject with sensitivity and balances the Losers journey through the undergraduate years well. There was ample temptation available to propel this segment of the film into being an over the top and loud essay, but Tiwari never gives in, thus rising above the ordinary. Sushant Singh Rajput delivers an underrated performance and Tahir Raj Bhasin adds gravitas. Naveen Polishetty, Tushar Pandey and Saharsh Kumar Shukla add to the little masala with their individual contribution, but the star of the Losers union must be Varun Sharma. He is absolutely a laugh riot with his expressions, one liners and an incredible energy, cracking up the theatre on numerous occasions. The weakest link is yet again Shraddha Kapoor, who needs to experiment with diversity of histrionic capabilities and expressions.

Don't miss Chhichhore, it's a fantastic mood lifter and easy on the mind, often drawing you into the proceedings.",positive
"I'm not sure what accomplished director/producer/cinematographer Joshua Caldwell was thinking taking on this project.

This film has got to be the epitome of terrible writing and should be a classroom example of 'what not to do' when writing a screenplay. Why would Joshua take on (clearly) amateur writer Adam Gaines script is beyond me. Even his good directing and excellent cinematography could not save this disaster.

Aside from the super obvious plot holes and very poor story overall, the dragged-out unnecessary dialogue made this film unbearable and extremely boring. The way too long 1h 39min film length felt like 4 hours and I found myself saying ""get on with it already, who cares!"" when the two leads would just ramble on about nothing relevant. This movie may have been interesting if it was a 30 min short film (which oddly enough is the only minimal writing experience Adam Gaines has).

The acting was decent and Katia Winter was very easy on the eyes to look at, but her chemistry with Simon Quarterman was very unconvincing. Maybe it was the boring dialogue they had that made their chemistry absent.

Even the maybe total of 10 minutes of action scenes were overly dragged out. The rest of the film was primarily useless garbage dialogue with absolutely no point to the story - start to finish.

Don't waste your time with this one. See the trailer, and that's all the good and interesting parts you'll need to see.
",negative
movie is good,positive
movie is bad,negative
"An awful film! It must have been up against some real stinkers to be nominated for the Golden Globe. They've taken the story of the first famous female Renaissance painter and mangled it beyond recognition. My complaint is not that they've taken liberties with the facts; if the story were good, that would perfectly fine. But it's simply bizarre -- by all accounts the true story of this artist would have made for a far better film, so why did they come up with this dishwater-dull script? I suppose there weren't enough naked people in the factual version. It's hurriedly capped off in the end with a summary of the artist's life -- we could have saved ourselves a couple of hours if they'd favored the rest of the film with same brevity.",negative
good 😀,positive
"Greenaway seems to have a habit of trying deliberately to disgust his viewers. This film opens with incest--and purposeless, meaningless, casual incest at that. That's Greenaway's big problem. He prefers parlor tricks to shock over actually doing anything meaningful. Technical skill isn't enough. He's just a bit perverse for the sake of perversity.",negative
movie is good,positive
my college is bad,negative
"One of the other reviewers has mentioned that after watching just 1 Oz episode you'll be hooked. They are right, as this is exactly what happened with me.<br /><br />The first thing that struck me about Oz was its brutality and unflinching scenes of violence, which set in right from the word GO. Trust me, this is not a show for the faint hearted or timid. This show pulls no punches with regards to drugs, sex or violence. Its is hardcore, in the classic use of the word.<br /><br />It is called OZ as that is the nickname given to the Oswald Maximum Security State Penitentary. It focuses mainly on Emerald City, an experimental section of the prison where all the cells have glass fronts and face inwards, so privacy is not high on the agenda. Em City is home to many..Aryans, Muslims, gangstas, Latinos, Christians, Italians, Irish and more....so scuffles, death stares, dodgy dealings and shady agreements are never far away.<br /><br />I would say the main appeal of the show is due to the fact that it goes where other shows wouldn't dare. Forget pretty pictures painted for mainstream audiences, forget charm, forget romance...OZ doesn't mess around. The first episode I ever saw struck me as so nasty it was surreal, I couldn't say I was ready for it, but as I watched more, I developed a taste for Oz, and got accustomed to the high levels of graphic violence. Not just violence, but injustice (crooked guards who'll be sold out for a nickel, inmates who'll kill on order and get away with it, well mannered, middle class inmates being turned into prison bitches due to their lack of street skills or prison experience) Watching Oz, you may become comfortable with what is uncomfortable viewing....thats if you can get in touch with your darker side.",positive
i am happy,positive
project is very good.,positive
Good expo😀,positive
bad expo,negative
very nice,positive
	good 😀,positive
"bad
",negative
nice,positive
scope,positive
avcoe is good😀,positive
movie is very bad,negative
good,positive
bad,negative
average,negative
good job,positive
college is bad,negative
"college is bad
",negative
"college is bad
",negative
😁😁,positive
the avcoe expo is very knowlwgable,positive
The expo is very good,positive
The expo products are attractive.,positive
The expo arragnement is managable,positive
there is slightly variation in expo products,positive
Amrutvahini made the expo very attractive,positive
the expo is very good,positive
The Amrutvahini arrage the expo,positive
the expo is awful,negative
the expo is not very bad,negative
the expo is bad in some things,negative
"Amrutvahini arragement is bad for expo
",negative
We collect various types of knowledge i amrutvahini expo,positive
bhushan gives good responce about amrutvahini expo,positive
the expo is not correct,positive
Avcoe college is very good,positive
Avcoe has great arrangment about Amrutvahini expo,positive
The Amrutvahini expo had some faulty projects,negative
the Avcoe is not very good ,positive
the Avcoe is not very bad,negative
The Avcoe has great understandable project groups,positive
Avcoe Very good college,positive
very much better avcoe🌚,negative
avcoe 🥃 brand,positive
avcoe is better than wine shop,positive
one of the best,positive
"avcoe teachers are beautiful
",positive
Amrutvahini is best college,positive
"Amrutvahini is a college where students get placed with excellent package 
EX: 2024 Batch",positive
Amrutvahini amrutvahiniamrutvahini amrutvahini amrutvahini,positive
Amrutvahini college takes admission by saying there will be 100% placements but actually it is very bad at placements. ,negative
the projects from it dept of Amrutvahini college are very good,positive
the projects from it dept of Amrutvahini college are very good,positive
good,positive
Your project is very good,positive
nice,positive
nice,positive
good,positive
average,negative
average 😐,negative
good movie,positive
movie is good🙂,positive
movie is bad ,negative
"i m not ready
",positive
good,positive
